rank,term,avg_tfidf,doc_frequency,ngram_n
534,iran meluncurkan,0.007530820248979956,35,2
535,berbicara,0.007530718829019975,30,1
536,menanggapi,0.0075301924889068245,36,1
537,bentuk,0.007524702627815062,35,1
538,pbb,0.007523318546751233,30,1
539,keamanan nasional,0.007522100702393371,37,2
540,anadolu,0.007493185581780595,39,1
541,serangan gabungan asisrael,0.007485959606766324,40,3
542,negeri iran,0.007485390767115624,38,2
543,truth social,0.007483670909959672,34,2
544,ruhol,0.007464261432682401,38,1
545,dewan keamanan,0.007462691710098141,35,2
546,gencatan,0.007445169841286476,25,1
547,gencatan senjata,0.007445169841286476,25,2
548,serangan gabungan amerika,0.007443864644322521,35,3
549,kediaman khamenei,0.00743900011252668,33,2
550,menentang,0.007432604701213906,39,1
551,regional,0.007424049811629806,35,1
552,garis,0.007417451973709654,36,1
553,rusia,0.007413612220401221,24,1
554,pendukung,0.00741063645913241,23,1
555,tinggal,0.0073813829680689155,34,1
556,aparat,0.007375958162995806,32,1
557,pesawat,0.007369023852059762,27,1
558,persia,0.007363915934313195,22,1
559,mantan,0.007357965236732332,31,1
560,arah,0.007335369543506809,32,1
561,membawa,0.0073075543486137325,35,1
562,tel,0.007305646976717081,26,1
563,katz,0.007295778583499895,19,1
564,islam irgc,0.007295709157402457,40,2
565,cepat,0.007295424399383623,28,1
566,diklaim,0.007295387571786507,24,1
567,wawancara,0.007288265279110811,27,1
568,ruhol khomeini,0.007282895556705974,36,2
569,tangan,0.007262859502486585,31,1
570,revolusi islam irgc,0.007253179242704152,39,3
571,keamanan iran,0.007249481118062222,32,2
572,shah,0.007245304714423565,24,1
573,tewas serangan gabungan,0.00724349953174923,36,3
574,memperingatkan,0.007237826116712941,30,1
575,serangan israel iran,0.007235756824798094,35,3
576,luas,0.0072184891518066365,35,1
577,hukum internasional,0.007217721386825194,32,2
578,mencari,0.007216108123280383,28,1
579,menggempur,0.007214692060564091,28,1
580,sisi,0.007205097573521036,36,1
581,pejabat senior,0.00718698496025313,31,2
582,luka,0.007182356999743576,25,1
583,scroll continue with,0.00718070963175116,35,3
584,lahir,0.007180020219943693,38,1
585,stasiun,0.007171090364733888,34,1
586,momen,0.007157576440282615,28,1
587,iran iran,0.007150158742078766,34,2
588,sekretaris,0.007149378007526436,34,1
589,bersumpah,0.0071231461043606585,36,1
590,jantung,0.007115490245023281,29,1
591,iran mengumumkan,0.007110508930432411,35,2
592,dilancarkan,0.007109994207877307,32,1
593,balasan iran,0.007087894873583862,33,2
594,dinilai,0.007072631923831943,35,1
595,menyasar,0.007068058261704633,30,1
596,mata,0.007056963249464843,29,1
597,senior iran,0.007046485335172037,29,2
598,berduka,0.007016158681500354,30,1
599,jenderal,0.007013320062412654,25,1
600,menantu cucu,0.007007995361774698,29,2
601,jam,0.007005915429596647,29,1
602,serikatisrael,0.007001406372510602,33,1
603,amerika serikatisrael,0.007001406372510602,33,2
604,aman,0.006988524609183844,29,1
605,calon,0.006985043365446798,29,1
606,polisi,0.006974220734611915,22,1
607,orangorang,0.006972603800277334,30,1
608,serangan menewaskan,0.006961360959388373,32,2
609,kemenangan,0.006957196669366012,28,1
610,israel israel,0.006930274318602629,29,2
611,massa,0.0069291291186780605,21,1
612,palestina,0.0069278738840303205,20,1
613,tingkat,0.0069089647203084865,31,1
614,kedaulatan,0.0069054559371441015,31,1
615,menewaskan pemimpin,0.006905101749722467,30,2
616,pewarta,0.006890596211239182,38,1
617,selamat,0.006835561530068191,31,1
618,penerus,0.0068339994897948795,34,1
619,meluas,0.00683163129647158,32,1
620,beredar,0.00681738699659619,23,1
621,iran tewas serangan,0.006794771559114063,29,3
