Judul,Penerbit,Link,Tanggal Published
Pemuka Agama AS Doakan Trump: Terus Berikan Presiden Kami Kekuatan,CNN,https://www.cnnindonesia.com/internasional/20260307081315-134-1335274/pemuka-agama-as-doakan-trump-terus-berikan-presiden-kami-kekuatan,09 Maret 2026
"Kemlu Belum Rencana Evakuasi WNI dari Lebanon, Mayoritas Personel TNI",CNN,https://www.cnnindonesia.com/internasional/20260306133642-106-1335050/kemlu-belum-rencana-evakuasi-wni-dari-lebanon-mayoritas-personel-tni,11 Maret 2026
Trump soal Mojtaba Pemimpin Baru Iran: Mereka Bikin Kesalahan Besar,CNN,https://www.cnnindonesia.com/internasional/20260310032017-134-1336127/trump-soal-mojtaba-pemimpin-baru-iran-mereka-bikin-kesalahan-besar,08 Maret 2026
"Iran Sebut Pengganti Khamenei Segera Dipilih, Siapakah Dia?",CNN,https://www.cnnindonesia.com/internasional/20260303145726-120-1333868/iran-sebut-pengganti-khamenei-segera-dipilih-siapakah-dia,08 Maret 2026
Israel Berdalih Pembunuhan Khamenei Sesuai Hukum Internasional,CNN,https://www.cnnindonesia.com/internasional/20260306062827-120-1334877/israel-berdalih-pembunuhan-khamenei-sesuai-hukum-internasional,11 Maret 2026
Utusan Iran di PBB: 1.332 Warga Sipil Tewas dalam Perang,CNN,https://www.cnnindonesia.com/internasional/20260307064928-120-1335264/utusan-iran-di-pbb-1332-warga-sipil-tewas-dalam-perang,09 Maret 2026
"Video Propaganda Gempur Iran, AS Comot Klip Top Gun hingga Superman",CNN,https://www.cnnindonesia.com/hiburan/20260306163942-220-1335138/video-propaganda-gempur-iran-as-comot-klip-top-gun-hingga-superman,08 Maret 2026
"Khamenei Tewas, Bagaimana Proses Iran Tunjuk Pemimpin Tertinggi?",CNN,https://www.cnnindonesia.com/internasional/20260302213153-120-1333596/khamenei-tewas-bagaimana-proses-iran-tunjuk-pemimpin-tertinggi,08 Maret 2026
Istri Khamenei Meninggal Terluka Parah Imbas Serangan Israel-AS,CNN,https://www.cnnindonesia.com/internasional/20260303100712-120-1333694/istri-khamenei-meninggal-terluka-parah-imbas-serangan-israel-as,11 Maret 2026
Iran Siap Bikin Malu AS jika Berani Invasi Darat: Kami Tunggu Mereka,CNN,https://www.cnnindonesia.com/internasional/20260306075551-120-1334907/iran-siap-bikin-malu-as-jika-berani-invasi-darat-kami-tunggu-mereka,11 Maret 2026
Trump Persulit Jalur Diplomasi: Iran Harus Menyerah Tanpa Syarat!,CNN,https://www.cnnindonesia.com/internasional/20260307073832-134-1335270/trump-persulit-jalur-diplomasi-iran-harus-menyerah-tanpa-syarat,11 Maret 2026
Siapa Pengganti Khamenei Setelah Tewas Dibunuh AS-Israel?,CNN,https://www.cnnindonesia.com/internasional/20260301094139-120-1332983/siapa-pengganti-khamenei-setelah-tewas-dibunuh-as-israel,07 Maret 2026
Khamenei Perintah Iran Serang Langsung Israel Balas Kematian Bos Hamas,CNN,https://www.cnnindonesia.com/internasional/20240801071732-120-1127878/khamenei-perintah-iran-serang-langsung-israel-balas-kematian-bos-hamas,08 Maret 2026
Media Iran Konfirmasi Khamenei Tewas dalam Serangan AS-Israel,CNN,https://www.cnnindonesia.com/internasional/20260301083937-120-1332966/media-iran-konfirmasi-khamenei-tewas-dalam-serangan-as-israel,08 Maret 2026
Trump Ngotot Punya Hak Ikut Pilih Pemimpin Iran Pengganti Khamenei,CNN,https://www.cnnindonesia.com/internasional/20260306083018-134-1334913/trump-ngotot-punya-hak-ikut-pilih-pemimpin-iran-pengganti-khamenei,08 Maret 2026
Tudingan Serangan Iran ke Timteng dan False Flag Operation Israel,CNN,https://www.cnnindonesia.com/internasional/20260307064758-120-1335263/tudingan-serangan-iran-ke-timteng-dan-false-flag-operation-israel,07 Maret 2026
"RI Diminta Keluar BoP saat AS-Israel Bombardir Iran, Kemlu Buka Suara",CNN,https://www.cnnindonesia.com/internasional/20260306160310-106-1335119/ri-diminta-keluar-bop-saat-as-israel-bombardir-iran-kemlu-buka-suara,08 Maret 2026
"Perang AS-Israel vs Iran Membara, Kemlu Minta WNI Tunda Umrah",CNN,https://www.cnnindonesia.com/internasional/20260306133352-106-1335046/perang-as-israel-vs-iran-membara-kemlu-minta-wni-tunda-umrah,07 Maret 2026
Stadion-stadion Olahraga Iran Jadi Target Rudal AS-Israel,CNN,https://www.cnnindonesia.com/olahraga/20260306171747-178-1335146/stadion-stadion-olahraga-iran-jadi-target-rudal-as-israel,11 Maret 2026
Khamenei soal Kematian Bos Hamas: Tugas Kami Balas Darahnya ke Israel,CNN,https://www.cnnindonesia.com/internasional/20240731172249-120-1127724/khamenei-soal-kematian-bos-hamas-tugas-kami-balas-darahnya-ke-israel,07 Maret 2026
